n_cal,env,method,seed,status,success_rate,avg_reward,rollout_rate,avg_rollouts_per_ep,total_rollouts,total_decisions,n_episodes,elapsed_seconds,gate_threshold,gate_signal,gate_direction,gate_buffer_size,summary_path
50,fever,corefine,42,OK,0.36666666666666664,0.36666666666666664,0.6153846153846154,3.466666666666667,104,169,30,207.65868949890137,9.755263963542973e-06,token_entropy,positive_fixed,104,results/phase_b_calibration_sweep/n_cal_50/fever/corefine/seed_42/summary.json
50,fever,cats,42,OK,0.26666666666666666,0.26666666666666666,0.0,0.0,0,184,30,28.879964590072632,,confidence,learned_single_signal,0,results/phase_b_calibration_sweep/n_cal_50/fever/cats/seed_42/summary.json
50,fever,auq,42,OK,0.36666666666666664,0.36666666666666664,0.75,4.2,126,168,30,257.5860188007355,0.9999902447836235,verbalized_confidence,negative_fixed,126,results/phase_b_calibration_sweep/n_cal_50/fever/auq/seed_42/summary.json
50,fever,s1_budget,42,OK,0.3333333333333333,0.3333333333333333,0.2777777777777778,1.6666666666666667,50,180,30,108.9356517791748,2,fixed_budget,none,50,results/phase_b_calibration_sweep/n_cal_50/fever/s1_budget/seed_42/summary.json
50,apps,catts,42,OK,0.7,0.8586666666666667,0.012048192771084338,0.03333333333333333,1,83,30,122.74598622322083,0.013837222380691263,vote_entropy,positive_fixed,1,results/phase_b_calibration_sweep/n_cal_50/apps/catts/seed_42/summary.json
50,apps,seag,42,OK,0.7,0.9920000000000001,0.08536585365853659,0.23333333333333334,7,82,30,347.7598707675934,0.9862580719445112,confidence,negative_fixed,7,results/phase_b_calibration_sweep/n_cal_50/apps/seag/seed_42/summary.json
50,apps,corefine,42,OK,0.7,0.9920000000000001,0.08536585365853659,0.23333333333333334,7,82,30,335.4442744255066,0.013837222380691263,token_entropy,positive_fixed,7,results/phase_b_calibration_sweep/n_cal_50/apps/corefine/seed_42/summary.json
50,apps,cats,42,OK,0.7,0.8386666666666667,0.0,0.0,0,83,30,38.197418451309204,,confidence,negative_fixed,0,results/phase_b_calibration_sweep/n_cal_50/apps/cats/seed_42/summary.json
50,apps,auq,42,OK,0.7,1.0933333333333333,0.9733333333333334,2.433333333333333,73,75,30,1206.4296617507935,0.9862580719445112,verbalized_confidence,negative_fixed,73,results/phase_b_calibration_sweep/n_cal_50/apps/auq/seed_42/summary.json
50,apps,s1_budget,42,OK,0.7333333333333333,1.076,0.4166666666666667,1.0,30,72,30,812.2112812995911,1,fixed_budget,none,30,results/phase_b_calibration_sweep/n_cal_50/apps/s1_budget/seed_42/summary.json
50,webshop,catts,42,MISSING,,,,,,,,,,,,,results/phase_b_calibration_sweep/n_cal_50/webshop/catts/seed_42/summary.json
50,webshop,seag,42,OK,0.0,0.0,0.0,0.0,0,450,30,112.8523120880127,0.9348687984269457,confidence,negative_fixed,0,results/phase_b_calibration_sweep/n_cal_50/webshop/seag/seed_42/summary.json
50,webshop,corefine,42,OK,0.0,0.0,0.0,0.0,0,450,30,107.42581415176392,0.06735037665250312,token_entropy,positive_fixed,0,results/phase_b_calibration_sweep/n_cal_50/webshop/corefine/seed_42/summary.json
50,webshop,cats,42,OK,1.0,0.8000000000000003,1.0,3.0,90,90,30,692.1645908355713,,confidence,learned_single_signal,90,results/phase_b_calibration_sweep/n_cal_50/webshop/cats/seed_42/summary.json
50,webshop,auq,42,OK,1.0,0.8000000000000003,1.0,3.0,90,90,30,687.5498282909393,0.9348687984269457,verbalized_confidence,negative_fixed,90,results/phase_b_calibration_sweep/n_cal_50/webshop/auq/seed_42/summary.json
50,webshop,s1_budget,42,OK,0.0,0.0,0.06666666666666667,1.0,30,450,30,273.8587758541107,1,fixed_budget,none,30,results/phase_b_calibration_sweep/n_cal_50/webshop/s1_budget/seed_42/summary.json
100,hotpotqa,catts,42,MISSING,,,,,,,,,,,,,results/phase_b_calibration_sweep/n_cal_100/hotpotqa/catts/seed_42/summary.json
100,hotpotqa,seag,42,OK,0.6333333333333333,0.6333333333333333,0.26573426573426573,1.2666666666666666,38,143,30,114.0143518447876,0.9964761022717286,confidence,negative_fixed,38,results/phase_b_calibration_sweep/n_cal_100/hotpotqa/seag/seed_42/summary.json
100,hotpotqa,corefine,42,OK,0.6333333333333333,0.6333333333333333,0.26573426573426573,1.2666666666666666,38,143,30,115.92409062385559,0.003530130355352847,token_entropy,positive_fixed,38,results/phase_b_calibration_sweep/n_cal_100/hotpotqa/corefine/seed_42/summary.json
100,hotpotqa,cats,42,OK,0.9666666666666667,0.9666666666666667,0.8076923076923077,1.4,42,52,30,87.97492337226868,,confidence,learned_single_signal,42,results/phase_b_calibration_sweep/n_cal_100/hotpotqa/cats/seed_42/summary.json
100,hotpotqa,auq,42,OK,0.9666666666666667,0.9666666666666667,0.9803921568627451,1.6666666666666667,50,51,30,107.2115204334259,0.9964761022717286,verbalized_confidence,negative_fixed,50,results/phase_b_calibration_sweep/n_cal_100/hotpotqa/auq/seed_42/summary.json
100,hotpotqa,s1_budget,42,OK,0.9666666666666667,0.9666666666666667,0.62,1.0333333333333334,31,50,30,57.65098333358765,2,fixed_budget,none,31,results/phase_b_calibration_sweep/n_cal_100/hotpotqa/s1_budget/seed_42/summary.json
100,fever,catts,42,OK,0.3,0.3,0.005405405405405406,0.03333333333333333,1,185,30,152.59199213981628,1.1064497079676199e-05,vote_entropy,positive_fixed,1,results/phase_b_calibration_sweep/n_cal_100/fever/catts/seed_42/summary.json
100,fever,seag,42,OK,0.36666666666666664,0.36666666666666664,0.5325443786982249,3.0,90,169,30,182.66056728363037,0.9999889355641599,confidence,negative_fixed,90,results/phase_b_calibration_sweep/n_cal_100/fever/seag/seed_42/summary.json
100,fever,corefine,42,OK,0.36666666666666664,0.36666666666666664,0.5325443786982249,3.0,90,169,30,186.63876152038574,1.1064497079676199e-05,token_entropy,positive_fixed,90,results/phase_b_calibration_sweep/n_cal_100/fever/corefine/seed_42/summary.json
100,fever,cats,42,OK,0.3333333333333333,0.3333333333333333,0.9239766081871345,5.266666666666667,158,171,30,282.87038373947144,,confidence,learned_single_signal,158,results/phase_b_calibration_sweep/n_cal_100/fever/cats/seed_42/summary.json
100,fever,auq,42,OK,0.36666666666666664,0.36666666666666664,0.7514450867052023,4.333333333333333,130,173,30,285.9954779148102,0.9999889355641599,verbalized_confidence,negative_fixed,130,results/phase_b_calibration_sweep/n_cal_100/fever/auq/seed_42/summary.json
100,fever,s1_budget,42,OK,0.3333333333333333,0.3333333333333333,0.2777777777777778,1.6666666666666667,50,180,30,110.7054693698883,2,fixed_budget,none,50,results/phase_b_calibration_sweep/n_cal_100/fever/s1_budget/seed_42/summary.json
100,apps,catts,42,MISSING,,,,,,,,,,,,,results/phase_b_calibration_sweep/n_cal_100/apps/catts/seed_42/summary.json
